Term;Stemmed;Variations;Systems Administration;Continuous Integration;Command-line Applications;Network Applications;Cryptography;Databases;GUI Applications;Image Manipulation;JSON;Networking;Scientific Applications;HTML Scraping;Speed;Web Applications;XML parsing;Documentation;Common Gotchas;Choosing a License;Logging;Reading Great Code;Structuring Your Project;Code Style;Testing Your Code
test;test;tests, test;1;8;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;4;0;44
immutable state;immutable state;immutable states, immutable state;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
enum keyword (C/C++);enum keyword (C/C++);enum keyword (C/C++);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
node;node;node;4;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0
thread map;thread map;thread maps, thread map;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mutable array;mutable array;mutable arrays, mutable array;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
variable;variable;variables, variable;2;0;0;0;0;0;0;0;0;0;0;0;2;5;0;0;3;0;1;0;14;6;0
runtime error message;runtime error message;runtime error messages, runtime error message;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PostgreSQL;PostgreSQL;PostgreSQL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
compile-time error message;compile-time error message;compile-time error messages, compile-time error message;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
argument list;argument list;argument list;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
logical and (&&);logical and (&&);logical and (&&);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
either type;either type;either type;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Data.Monoid module;Data.Monoid module;Data.Monoid module;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
number system of barcodes;number system of barcodes;number systems of barcodes, number system of barcodes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
concept;concept;concepts, concept;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;1;0
global;global;global;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;7;0;0
datum;datum;data, datum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
error stream;error stream;error stream;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
linebuffering mode (buffermode);linebuffering mode ( buffermode );linebuffering mode (buffermode);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
map function;map function;map function;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
list cloning;list cloning;list cloning;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
record syntax;record syntax;record syntax;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
p3 (plain) netpbm image format;p3 ( plain ) netpbm image format;p3 (plain) netpbm image format;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
underlying http;underlying http;underlying http;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
soap fault;soap fault;soap faults, soap fault;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
predicate;predicate;predicates, predicate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
implicit state;implicit state;implicit state;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
unicode datum;unicode datum;unicode data, unicode datum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
universal newline support;universal newline support;universal newline support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
class dictionary;class dictionary;class dictionaries, class dictionary;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
word;word;word;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
numeric 2nd;numeric 2nd;numeric 2nd;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
newtype;newtype;newtype;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
programming environment;programming environment;programming environment;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
format string;format string;format string;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
level;level;level;1;0;1;0;2;0;0;0;0;1;3;0;0;0;0;1;0;0;0;0;7;2;0
binary function;binary function;binary function;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
structural recursion;structural recursion;structural recursion;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
custom url;custom url;custom url;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
leading character;leading character;leading characters, leading character;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
standard library;standard library;standard library;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;3
typeclasses 2nd;typeclasses 2nd;typeclasses 2nd;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
pipe (|);pipe (|);pipe (|);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cargo;cargo;cargo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
object contain;object contain;object contains, object contain;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
true boolean value;true boolean value;true boolean value;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
template;template;template;2;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;1;0;0
GET method (HTTP);get method ( http );GET method (HTTP);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
barcode;barcode;barcodes, barcode;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
guardian;guardian;guardian;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
parse type;parse type;parse type;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
intergral;intergral;intergral;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mapm function 2nd;mapm function 2nd;mapm function 2nd;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
re;re;re;0;1;0;0;0;0;2;0;1;0;2;2;0;1;0;0;1;0;0;0;0;0;1
ubuntu linux;ubuntu linux;ubuntu linux;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mempty;mempty;mempty;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
random value;random value;random values, random value;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SQL (Structured Query Language);sql ( structured query language );SQL (Structured Query Language);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
queue;queue;queue;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
delimiter;delimiter;delimiter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
xml document;xml document;xml documents, xml document;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
web page;web page;web pages, web page;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
NF (normal form);nf ( normal form );NF (normal form);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
purity 2nd 3rd [see also pure functions];purity 2nd 3rd [ see also pure function ];purity 2nd 3rd [see also pure functions];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
do expression;do expression;do expressions, do expression;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
language extension;language extension;language extensions, language extension;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
shift function;shift function;shift function;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
pair (2-tuple);pair (2-tuple);pair (2-tuple);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GHC-Options property;GHC-Options property;GHC-Options property;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
prelude module 2nd;prelude module 2nd;prelude module 2nd;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
encode;encode;encode;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
scope;scope;scope;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;1;0;0
parsec helper function;parsec helper function;parsec helper functions, parsec helper function;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
leaky code;leaky code;leaky code;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
terminal program;terminal program;terminal program;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
head function 2nd 3rd;head function 2nd 3rd;head function 2nd 3rd;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
distribution;distribution;distribution;0;0;0;0;0;0;0;0;0;3;4;0;0;0;0;0;0;0;0;0;0;0;0
concat function 2nd 3rd;concat function 2nd 3rd;concat function 2nd 3rd;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
match function;match function;match function;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Data.Foldable module 2nd;Data.Foldable module 2nd;Data.Foldable module 2nd;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
otherwise expression;otherwise expression;otherwise expression;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
implicit context;implicit context;implicit context;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
hash tables 2nd;hash table 2nd;hash tables 2nd;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
lambda function;lambda function;lambda functions, lambda function;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
functional programming;functional programming;functional programming;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
floating-point number;floating-point number;floating-point numbers, floating-point number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
binary search tree;binary search tree;binary search tree;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
rnf function;rnf function;rnf function;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
arithmetic expression;arithmetic expression;arithmetic expressions, arithmetic expression;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
return calls 2nd;return call 2nd;return calls 2nd;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
second parameter;second parameter;second parameter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
indice of arrays;indice of array;indices of arrays, indice of arrays;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
right-associative signature;right-associative signature;right-associative signatures, right-associative signature;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
substring;substring;substrings, substring;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
fundamental ambiguity theorem;fundamental ambiguity theorem;fundamental ambiguity theorem;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
custom data type for errors;custom data type for error;custom data types for errors, custom data type for errors;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
purity;purity;purity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
counting;counting;counting;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
logical or (||);logical or (||);logical or (||);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
inheritance;inheritance;inheritance;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
set comprehension;set comprehension;set comprehension;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
planned development plan;planned development plan;planned development plan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
in operator;in operator;in operator;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
international language support;international language support;international language support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
write;write;write;3;0;0;0;0;0;0;0;0;0;1;0;2;1;0;0;0;0;0;0;0;3;2
Control.Applicative module;Control.Applicative module;Control.Applicative module;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
pure;pure;pure;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;7;0;0
parameter;parameter;parameters, parameter;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;1
compiled regular expression;compiled regular expression;compiled regular expression;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cl compiler;cl compiler;cl compiler;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
map;map;maps, map;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
strictness;strictness;strictness;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
irrational;irrational;irrational;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
clone;clone;clone;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
JSON typeclass;json typeclass;JSON typeclasses, JSON typeclass;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
monadic use;monadic use;monadic use;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
date;date;dates, date;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
soap service;soap service;soap service;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
lifting;lifting;lifting;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
function argument;function argument;function arguments, function argument;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0
combinator function;combinator function;combinator functions, combinator function;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
first function;first function;first function;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
operation dictionary;operation dictionary;operation dictionary;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
find command;find command;find command;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GHC;ghc;GHC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
python interpreter;python interpreter;python interpreter;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;2;3;0
syndicated feed;syndicated feed;syndicated feed;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
same line;same line;same line;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
character class;character class;character classes, character class;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
non-strict evaluation;non-strict evaluation;non-strict evaluation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
non-limited length;non-limited length;non-limited length;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
pointer;pointer;pointers, pointer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
System.Posix.Files module;System.Posix.Files module;System.Posix.Files module;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
processor time;processor time;processor time;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
web application;web application;web applications, web application;0;0;0;0;0;0;1;0;0;0;0;0;0;12;0;0;0;0;0;0;1;0;0
polymorphic types 2nd;polymorphic type 2nd;polymorphic types 2nd;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
platform;platform;platform;0;1;0;1;0;0;9;1;0;0;1;0;0;5;0;0;0;0;0;0;0;0;0
window;window;windows, window;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
handling error;handling error;handling errors, handling error;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
passing datum between c and haskell;passing datum between c and haskell;passing data between c and haskell, passing datum between c and haskell;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
class instance;class instance;class instances, class instance;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
user IDs (UIDs);user ids ( uids );user IDs (UIDs);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
proxy class;proxy class;proxy class;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADT (abstract data types);adt ( abstract data type );ADT (abstract data types);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
pattern matching;pattern matching;pattern matching;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
equality;equality;equality;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
name;name;name;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;2;0;12;4;5
partial function;partial function;partial functions, partial function;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
type system;type system;type system;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
last item;last item;last item;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
slice index;slice index;slice index;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
static method;static method;static methods, static method;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
taking advantage;taking advantage;taking advantage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ancestor tree;ancestor tree;ancestor tree;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
well typed rule;well typed rule;well typed rules, well typed rule;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
naming;naming;naming;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0
programming paradigm;programming paradigm;programming paradigm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
xml library;xml library;xml libraries, xml library;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
shadowing;shadowing;shadowing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FFI (Haskell Foreign Function Interface);ffi ( haskell foreign function interface );FFI (Haskell Foreign Function Interface);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
putstr function;putstr function;putstr function;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HTTP request;http request;HTTP requests, HTTP request;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
maybet monad transformer 2nd;maybet monad transformer 2nd;maybet monad transformer 2nd;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
then and else branch;then and else branch;then and else branches, then and else branch;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
operator precedence;operator precedence;operator precedence;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
orm;orm;orm;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
rawsystem function 2nd;rawsystem function 2nd;rawsystem function 2nd;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
card;card;card;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test discovery;test discovery;test discovery;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
derivedatatypeable language;derivedatatypeable language;derivedatatypeable language;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
programming;programming;programming;0;0;0;2;0;0;1;0;0;0;2;0;0;1;0;1;0;0;0;0;9;2;0
patternguard;patternguard;patternguards, patternguard;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Data.Function module;Data.Function module;Data.Function module;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
thing;thing;things, thing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;10;3;0
recursive definition;recursive definition;recursive definition;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
handlejust function;handlejust function;handlejust function;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
continue statement;continue statement;continue statement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
lambda;lambda;lambda;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
saving;saving;saving;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
enumeration type;enumeration type;enumeration types, enumeration type;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flexibleinstance;flexibleinstance;flexibleinstances, flexibleinstance;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
type constructor;type constructor;type constructors, type constructor;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
message;message;messages, message;0;1;0;5;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;5;0
sample code;sample code;sample code;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
partial application;partial application;partial applications, partial application;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
operator work;operator work;operator works, operator work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
augmented assignment;augmented assignment;augmented assignment;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
functional programming style;functional programming style;functional programming style;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-funbox-strict-fields option 2nd;-funbox-strict-fields option 2nd;-funbox-strict-fields option 2nd;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
copy;copy;copy;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;1;0
expression tree;expression tree;expression tree;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
template file;template file;template files, template file;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0
error messages syntax;error message syntax;error messages syntax;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
maybe type;maybe type;maybe type;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
headers (HTTP);header ( http );headers (HTTP);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
argument;argument;arguments, argument;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;1;36;0
generalization;generalization;generalization;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ptr type;ptr type;ptr type;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
period specify;period specify;period specifies, period specify;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
parameterized;parameterized;parameterized;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
getst function;getst function;getst function;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
object file;object file;object files, object file;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
import directive 2nd;import directive 2nd;import directive 2nd;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
knowledge base;knowledge base;knowledge base;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
exhaustive pattern;exhaustive pattern;exhaustive patterns, exhaustive pattern;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
note;note;note;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;0;0;1;0;1;2;0
permanent redirect;permanent redirect;permanent redirect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
monads and 2nd;monad and 2nd;monads and 2nd;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
struct keyword (C/C++);struct keyword (C/C++);struct keyword (C/C++);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
default method;default method;default method;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
data keyword;data keyword;data keyword;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
algebraic;algebraic;algebraic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
runtime statistic;runtime statistic;runtime statistics, runtime statistic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tail function 2nd 3rd 4th;tail function 2nd 3rd 4th;tail function 2nd 3rd 4th;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
