Term;Stemmed;Variations;Frequency
print statement;print statement;print statement;12
special value;special value;special values, special value;0
standard input;standard input;standard input;2
control.Concurrent;control.Concurrent;control.Concurrent;0
explicit type declaration;explicit type declaration;explicit type declaration;0
com index;com index;com index;0
loop function;loop function;loop function;0
closing;closing;closing;3
memory management;memory management;memory management;0
process;process;process;9
gamma function;gamma function;gamma function;0
python library;python library;python library;2
as-pattern;as-pattern;as-patterns, as-pattern;0
tail recursion;tail recursion;tail recursion;0
PRNG (pseudorandom number generator);prng ( pseudorandom number generator );PRNG (pseudorandom number generator);0
mutable reference;mutable reference;mutable references, mutable reference;0
namespace;namespace;namespace;19
lazy language;lazy language;lazy languages, lazy language;0
common pattern;common pattern;common patterns, common pattern;0
data structures 2nd 3rd;data structure 2nd 3rd;data structures 2nd 3rd;0
type synonym;type synonym;type synonyms, type synonym;0
second time;second time;second time;0
collection;collection;collection;9
elements function;element function;elements function;0
command-line argument;command-line argument;command-line arguments, command-line argument;1
xml attribute;xml attribute;xml attribute;0
program control;program control;program control;2
python support;python support;python supports, python support;0
left fold function;left fold function;left fold functions, left fold function;0
counter;counter;counter;0
element;element;elements, element;65
Foreign.Marshal.Array module;Foreign.Marshal.Array module;Foreign.Marshal.Array module;0
FreeBSD;freebsd;FreeBSD;0
round function;round function;round function;0
FDs (file descriptors);fds ( file descriptor );FDs (file descriptors);0
converting;converting;converting;4
type instance;type instance;type instances, type instance;0
data attribute;data attribute;data attributes, data attribute;0
list method;list method;list method;1
keyword argument;keyword argument;keyword arguments, keyword argument;4
environment (programming);environment ( programming );environment (programming);0
parsechar function;parsechar function;parsechar function;0
ruby;ruby;ruby;0
pixel;pixel;pixels, pixel;0
ELF object file;elf object file;ELF object files, ELF object file;0
RGB image;rgb image;RGB images, RGB image;0
monadic value;monadic value;monadic values, monadic value;0
python;python;python;576
injector function;injector function;injector functions, injector function;0
integer division;integer division;integer division;1
left identity [see (>>=) operator];left identity [ see (>>=) operator ];left identity [see (>>=) operator];0
wild card pattern;wild card pattern;wild card patterns, wild card pattern;0
tails function;tail function;tails function;0
plain (p3) netpbm format;plain ( p3 ) netpbm format;plain (p3) netpbm format;0
synchronizing variable;synchronizing variable;synchronizing variable;0
pesky background;pesky background;pesky background;0
same character;same character;same characters, same character;0
\r (carriage return) character;\ r ( carriage return ) character;\r (carriage return) character;0
fold' function;fold ' function;fold' function;0
pcre_exec function;pcre_exec function;pcre_exec function;0
unary operator (-);unary operator (-);unary operator (-);0
chunk;chunk;chunks, chunk;1
list management;list management;list management;0
variables 2nd;variable 2nd;variables 2nd;0
mulitcore programming;mulitcore programming;mulitcore programming;0
list monad;list monad;list monads, list monad;0
liftm function 2nd 3rd 4th;liftm function 2nd 3rd 4th;liftm function 2nd 3rd 4th;0
command-line;command-line;command-line;3
regular string;regular string;regular string;0
input/output [See I/O];input/output [See I/O];input/output [See I/O];0
actual parameter;actual parameter;actual parameters, actual parameter;5
global variable;global variable;global variables, global variable;1
style class;style class;style classes, style class;6
dictionary;dictionary;dictionaries, dictionary;53
hard-coded string;hard-coded string;hard-coded string;0
server respond;server respond;server responds, server respond;0
generalizednewtypederiving extension 2nd;generalizednewtypederiving extension 2nd;generalizednewtypederiving extension 2nd;0
format operator;format operator;format operator;0
data type;data type;data types, data type;32
database engine;database engine;database engines, database engine;0
two-dimensional vector;two-dimensional vector;two-dimensional vectors, two-dimensional vector;0
positional arguments;positional arguments;positional arguments;0
Daylight Saving Time (DST);daylight saving time ( dst );Daylight Saving Time (DST);0
development plan;development plan;development plan;0
quoted string;quoted string;quoted strings, quoted string;6
length;length;length;25
bytestring;bytestring;bytestrings, bytestring;1
python ide;python ide;python ide;0
grammar file;grammar file;grammar file;0
usage summary;usage summary;usage summary;0
support function;support function;support function;0
path information;path information;path information;0
remembered group;remembered group;remembered group;0
allocating datum;allocating datum;allocating data, allocating datum;0
stub version of types/functions;stub version of types/functions;stub versions of types/functions, stub version of types/functions;0
type annotation;type annotation;type annotations, type annotation;0
glasgow haskell;glasgow haskell;glasgow haskell;0
text editor;text editor;text editor;8
using list;using list;using list;5
hgetcontents function;hgetcontents function;hgetcontents function;0
UDP;udp;UDP;0
testing;testing;testing;9
tuple;tuple;tuples, tuple;53
Control.Monad.Error module 2nd 3rd;Control.Monad.Error module 2nd 3rd;Control.Monad.Error module 2nd 3rd;0
built-in function;built-in function;built-in function;6
operator override function;operator override function;operator override functions, operator override function;0
manipulation;manipulation;manipulation;3
list as argument;list a argument;list as argument;0
point-free style;point-free style;point-free style;0
debian linux;debian linux;debian linux;0
result;result;results, result;35
fmap function 2nd;fmap function 2nd;fmap function 2nd;0
false;false;false;52
linkedlist;linkedlist;linkedlist;0
object instance;object instance;object instance;0
sqlerror type;sqlerror type;sqlerror type;0
showhex function;showhex function;showhex function;0
text datum;text datum;text data, text datum;0
undefined value;undefined value;undefined values, undefined value;0
stdout function;stdout function;stdout function;0
instance;instance;instances, instance;60
pseudorandom number generator (PRNG);pseudorandom number generator ( prng );pseudorandom number generator (PRNG);0
Haskell DataBase Connectivity system (HDBC);haskell database connectivity system ( hdbc );Haskell DataBase Connectivity system (HDBC);0
normal form datum;normal form datum;normal form data, normal form datum;0
soap;soap;soap;0
application key;application key;application key;0
conditional statement;conditional statement;conditional statement;1
random number;random number;random numbers, random number;0
long flag;long flag;long flags, long flag;0
writechan function;writechan function;writechan function;0
arbitrary argument;arbitrary argument;arbitrary argument;0
enumerating;enumerating;enumerating;0
url;url;url;2
zipwith;zipwith;zipwith;0
request;request;requests, request;1
list object;list object;list object;2
pure function;pure function;pure functions, pure function;0
embedded reference;embedded reference;embedded reference;0
text;text;text;27
barcode recognition;barcode recognition;barcode recognition;0
shiftl function;shiftl function;shiftl function;0
deleting/renaming;deleting/renaming;deleting/renaming;0
length function 2nd;length function 2nd;length function 2nd;0
redirect;redirect;redirect;0
monad type class;monad type class;monad type class;0
deep copy;deep copy;deep copy;2
class attribute;class attribute;class attribute;0
interactive mode;interactive mode;interactive mode;9
global namespace;global namespace;global namespace;1
formal language;formal language;formal language;0
entire match;entire match;entire match;2
ambiguity;ambiguity;ambiguity;0
identity parser;identity parser;identity parsers, identity parser;0
local;local;local;9
handle;handle;handles, handle;13
text I/O;text I/O;text I/O;0
immutable list;immutable list;immutable lists, immutable list;0
common pattern in monads;common pattern in monad;common patterns in monads, common pattern in monads;0
right identity [see (>>=) operator];right identity [ see (>>=) operator ];right identity [see (>>=) operator];0
main menu;main menu;main menu;4
single quotes (');single quote (');single quotes (');1
infop type 2nd;infop type 2nd;infop type 2nd;0
incremental program development;incremental program development;incremental program development;0
System.Cmd module;System.Cmd module;System.Cmd module;0
instantiate;instantiate;instantiate;1
http layer;http layer;http layer;0
writer monad;writer monad;writer monad;0
single-character escape code;single-character escape code;single-character escape codes, single-character escape code;0
type inference 2nd;type inference 2nd;type inference 2nd;0
element attribute;element attribute;element attributes, element attribute;0
frame;frame;frame;1
garbage collecting;garbage collecting;garbage collecting;0
moggi;moggi;moggi;0
module;module;modules, module;119
string literal;string literal;string literals, string literal;1
interpreter;interpreter;interpreters, interpreter;14
type signature;type signature;type signatures, type signature;0
read typeclass;read typeclass;read typeclass;0
replicate function;replicate function;replicate function;0
gcc compiler;gcc compiler;gcc compiler;0
pattern;pattern;pattern;19
state;state;state;3
lend function;lend function;lend function;0
invariant;invariant;invariants, invariant;0
email;email;email;15
comparable;comparable;comparable;0
conditional evaluation 2nd;conditional evaluation 2nd;conditional evaluation 2nd;0
timediff type;timediff type;timediff type;0
association lists 2nd;association list 2nd;association lists 2nd;0
Text.Regex.Posix module;Text.Regex.Posix module;Text.Regex.Posix module;0
comparable fraction;comparable fraction;comparable fraction;0
key;key;key;30
typeclass;typeclass;typeclasses, typeclass;0
nomonomorphismrestriction 2nd;nomonomorphismrestriction 2nd;nomonomorphismrestriction 2nd;0
configuration;configuration;configuration;2
foreignptr type;foreignptr type;foreignptr type;0
multiple assignment;multiple assignment;multiple assignment;3
link time;link time;link time;0
types 2nd 3rd;type 2nd 3rd;types 2nd 3rd;0
input test;input test;input tests, input test;0
current directory;current directory;current directory;3
forkprocess function;forkprocess function;forkprocess function;0
non-numeric character;non-numeric character;non-numeric characters, non-numeric character;0
binary operator;binary operator;binary operator;2
conditional expression;conditional expression;conditional expressions, conditional expression;2
top level name;top level name;top level names, top level name;0
environment variable;environment variable;environment variables, environment variable;2
point-free expression;point-free expression;point-free expressions, point-free expression;0
transforming input;transforming input;transforming input;0
single xml;single xml;single xml;0
arithmetic sequence;arithmetic sequence;arithmetic sequence;0
function call;function call;function calls, function call;7
url opener;url opener;url opener;0
associativity;associativity;associativity;0
json;json;json;0
background process;background process;background processes, background process;0
applicative type class;applicative type class;applicative type class;0
single argument;single argument;single argument;0
normal method;normal method;normal methods, normal method;0
HNF (head normal form);hnf ( head normal form );HNF (head normal form);0
tuple as return value;tuple a return value;tuple as return value;0
supports python;support python;supports python;0
URL-encoded query string;URL-encoded query string;URL-encoded query strings, URL-encoded query string;0
monadplus typeclass;monadplus typeclass;monadplus typeclass;0
foldl function 2nd;foldl function 2nd;foldl function 2nd;0
functionaldependency;functionaldependency;functionaldependencies, functionaldependency;0
value;value;values, value;152
parameterized types 2nd;parameterized type 2nd;parameterized types 2nd;0
cursor;cursor;cursor;4
accumulator;accumulator;accumulator;0
snd function;snd function;snd function;0
running code;running code;running code;0
recursive function;recursive function;recursive function;1
getclocktime function;getclocktime function;getclocktime function;0
flex;flex;flex;0
syntactic sugar;syntactic sugar;syntactic sugar;0
tables (hash) 2nd;table ( hash ) 2nd;tables (hash) 2nd;0
finditer function;finditer function;finditer function;3
right syntax;right syntax;right syntax;0
generic;generic;generic;2
compiling source;compiling source;compiling source;0
default argument;default argument;default arguments, default argument;3
short flag;short flag;short flags, short flag;0
service url;service url;service url;0
parse wrapper;parse wrapper;parse wrapper;0
flexiblecontext;flexiblecontext;flexiblecontexts, flexiblecontext;0
Adler-32 checksum;Adler-32 checksum;Adler-32 checksum;0
http;http;http;25
reporting;reporting;reporting;0
numeric escape;numeric escape;numeric escapes, numeric escape;0
key-value pair;key-value pair;key-value pairs, key-value pair;1
identity;identity;identities, identity;6
polymorphism;polymorphism;polymorphism;0
mzero;mzero;mzero;0
numeric library;numeric library;numeric library;1
lookup function;lookup function;lookup function;0
module function;module function;module functions, module function;1
greatest common divisor;greatest common divisor;greatest common divisor;0
command;command;command;22
filesystem;filesystem;filesystems, filesystem;0
primitive recursive function;primitive recursive function;primitive recursive functions, primitive recursive function;0
TCP;tcp;TCP;1
.hsc files 2nd;.hsc files 2nd;.hsc files 2nd;0
runST function;runst function;runST function;0
compound statement header;compound statement header;compound statement header;0
runghc program;runghc program;runghc program;0
web;web;web;7
ADT;adt;ADT;0
abstract class;abstract class;abstract class;0
System.Directory module 2nd 3rd;System.Directory module 2nd 3rd;System.Directory module 2nd 3rd;0
complete language;complete language;complete language;0
string function;string function;string function;2
monads 2nd;monad 2nd;monads 2nd;0
match;match;matches, match;36
data structure;data structure;data structures, data structure;6
deadlocks 2nd;deadlock 2nd;deadlocks 2nd;0
comparable string;comparable string;comparable string;0
I/O;I/O;I/O;3
different part;different part;different parts, different part;0
sequencing;sequencing;sequencing;0
human-readable part;human-readable part;human-readable part;0
string;string;strings, string;234
same object;same object;same object;3
fromintegral function 2nd;fromintegral function 2nd;fromintegral function 2nd;0
basic fact;basic fact;basic facts, basic fact;0
callback function;callback function;callback functions, callback function;0
elem function;elem function;elem function;0
url handler;url handler;url handler;0
comprehension support;comprehension support;comprehension supports, comprehension support;2
wsdl proxy;wsdl proxy;wsdl proxy;0
fold function;fold function;fold functions, fold function;0
Control.Monad module 2nd;Control.Monad module 2nd;Control.Monad module 2nd;0
searching;searching;searching;5
library;library;libraries, library;33
widgets (GUI programming);widget ( gui programming );widgets (GUI programming);0
export;export;exports, export;0
WHNF (weak head normal form) 2nd 3rd;whnf ( weak head normal form ) 2nd 3rd;WHNF (weak head normal form) 2nd 3rd;0
monomorphic property;monomorphic property;monomorphic properties, monomorphic property;0
web client programming;web client programming;web client programming;0
standard output;standard output;standard output;2
child class;child class;child class;0
mode;mode;mode;18
testing [see quality assurance];testing [ see quality assurance ];testing [see quality assurance];0
local bin;local bin;local bin;0
multiplication (*) option;multiplication (*) option;multiplication (*) option;0
enum;enum;enum;0
monadplus;monadplus;monadplus;0
uppercase input;uppercase input;uppercase input;0
CAFs (constant applicative forms);cafs ( constant applicative form );CAFs (constant applicative forms);0
stage;stage;stage;0
socket;socket;sockets, socket;4
extension;extension;extensions, extension;8
scaled value;scaled value;scaled values, scaled value;0
column;column;column;0
attributeerror;attributeerror;attributeerror;0
pipes (redirection);pipe ( redirection );pipes (redirection);0
true division;true division;true division;8
factorial function;factorial function;factorial function;0
glade;glade;glade;0
constructor;constructor;constructors, constructor;5
glob pattern;glob pattern;glob patterns, glob pattern;0
test case;test case;test cases, test case;0
explicit;explicit;explicit;4
software;software;software;3
py;py;py;54
eureka traversal;eureka traversal;eureka traversal;0
built-in support;built-in support;built-in support;0
guard;guard;guards, guard;0
escape sequence;escape sequence;escape sequence;0
Data.ByteString.Lazy.Char8 module;Data.ByteString.Lazy.Char8 module;Data.ByteString.Lazy.Char8 module;0
fraction multiplication;fraction multiplication;fraction multiplication;0
networking;networking;networking;0
normal python;normal python;normal python;1
filename matching;filename matching;filename matching;0
base class;base class;base class;1
todo;todo;todo;0
newtype wrapper;newtype wrapper;newtype wrapper;0
strict evaluation 2nd;strict evaluation 2nd;strict evaluation 2nd;0
MonadIO typeclass;monadio typeclass;MonadIO typeclass;0
keyerror;keyerror;keyerror;0
overlapping;overlapping;overlapping;0
histogram;histogram;histogram;2
RPN (Reverse Polish Notation);rpn ( reverse polish notation );RPN (Reverse Polish Notation);0
embedded domain specific language;embedded domain specific language;embedded domain specific languages, embedded domain specific language;0
editing;editing;editing;1
bug;bug;bug;2
wsgi server;wsgi server;wsgi servers, wsgi server;0
operating system;operating system;operating system;3
Graphics.UI.Gtk.Graphics.UI.Gtk.Glade module;Graphics.UI.Gtk.Graphics.UI.Gtk.Glade module;Graphics.UI.Gtk.Graphics.UI.Gtk.Glade module;0
Database.HDBC module;Database.HDBC module;Database.HDBC module;0
stderr function;stderr function;stderr function;0
c programming language 2nd 3rd;c programming language 2nd 3rd;c programming language 2nd 3rd;0
boilerplate 2nd;boilerplate 2nd;boilerplate 2nd;0
processing [see file processing];processing [ see file processing ];processing [see file processing];0
puppet master;puppet master;puppet master;0
last occurrence;last occurrence;last occurrence;2
Graphics.UI.Gtk module;Graphics.UI.Gtk module;Graphics.UI.Gtk module;0
values test;value test;values test;0
int;int;int;25
row datum;row datum;row data, row datum;0
while loop;while loop;while loop;8
return value;return value;return value;7
returns true;return true;returns true;9
newtype keyword;newtype keyword;newtype keyword;0
subtraction (-) option;subtraction (-) option;subtraction (-) option;0
binary I/O;binary I/O;binary I/O;0
local file;local file;local file;0
unboxed value in arrays;unboxed value in array;unboxed values in arrays, unboxed value in arrays;0
hsc2h;hsc2h;hsc2hs, hsc2h;0
prop_one_present function;prop_one_present function;prop_one_present function;0
foreign module;foreign module;foreign modules, foreign module;0
branch;branch;branch;13
HPC;hpc;HPC;0
boolean expression tree;boolean expression tree;boolean expression tree;0
pattern object;pattern object;pattern object;8
lock order inversion;lock order inversion;lock order inversion;0
same way;same way;same way;3
python program;python program;python programs, python program;11
class;class;classes, class;159
quickquery' function 2nd;quickquery ' function 2nd;quickquery' function 2nd;0
CPP;cpp;CPP;0
mconcat;mconcat;mconcat;0
negative index;negative index;negative index;1
command line;command line;command line;1
Data.List.lookup function;Data.List.lookup function;Data.List.lookup function;0
rule;rule;rules, rule;1
closing file handles and;closing file handles and;closing file handles and;0
top-level statement;top-level statement;top-level statements, top-level statement;0
